Date,Ent-Open,Ent-High,Ent-Low,Ent-Close,Ent-Adj Close,Power-Open,Power-High,Power-Low,Power-Close,Power-Adj Close,Ports-Open,Ports-High,Ports-Low,Ports-Close,Ports-Adj Close
2020-10-09,318.799988,322.049988,310.5,313,313,36.299999,36.700001,36.049999,36.599998,36.599998,361,362.450012,355.149994,357.200012,357.200012
2020-10-12,315,322.700012,313,315.350006,315.350006,36.099998,36.900002,36.049999,36.200001,36.200001,359.100006,362.850006,355.049988,357.649994,357.649994
2020-10-13,315.5,316.799988,309.75,313.200012,313.200012,36.049999,36.400002,36.049999,36.200001,36.200001,357.649994,358.649994,348.399994,349.899994,349.899994
2020-10-14,312.950012,315.700012,310.049988,313.399994,313.399994,36.150002,36.549999,35.950001,36.099998,36.099998,349.100006,351.200012,344.700012,348.950012,348.950012
2020-10-15,315,325.850006,305.350006,307.100006,307.100006,36.049999,36.799999,36.049999,36.099998,36.099998,350.600006,353.850006,341.25,342.799988,342.799988
2020-10-16,309.25,313.950012,305.350006,307,307,36.200001,36.349998,35.900002,36,36,344.350006,354.75,341.950012,349.950012,349.950012
2020-10-19,309.899994,319.25,309.350006,316.950012,316.950012,36.099998,36.349998,35.299999,35.650002,35.650002,352.600006,352.600006,344.799988,347.549988,347.549988
2020-10-20,315.299988,327.850006,313.5,321.899994,321.899994,35.349998,35.75,35.349998,35.450001,35.450001,346.700012,352.299988,345.649994,348.950012,348.950012
2020-10-21,322,324.700012,306,312,312,35.5,35.700001,34.849998,35.099998,35.099998,350.25,360.149994,349.549988,355.350006,355.350006
2020-10-22,311,314.799988,309,311.5,311.5,35.150002,35.400002,34.5,35,35,350.549988,364.049988,350.149994,358.350006,358.350006
2020-10-23,314,322.450012,313.299988,315.450012,315.450012,35.099998,35.549999,35.099998,35.349998,35.349998,360,369,357.649994,364.350006,364.350006
2020-10-26,318,318.700012,305.049988,307.399994,307.399994,35.349998,35.700001,34.900002,35.150002,35.150002,366,373.899994,360.350006,363.700012,363.700012
2020-10-27,308,315.350006,303,314.049988,314.049988,35.150002,35.549999,34.849998,35.400002,35.400002,360.200012,366.200012,351,364.399994,364.399994
2020-10-28,313.799988,320.799988,309.850006,318.850006,318.850006,35.349998,35.650002,35.25,35.299999,35.299999,363,370,352,353.649994,353.649994
2020-10-29,315.399994,332.350006,313.200012,328.899994,328.899994,35.349998,35.900002,35.349998,35.650002,35.650002,350.549988,350.549988,341.149994,342.700012,342.700012
2020-10-30,331.049988,347.5,329.649994,339.700012,339.700012,35.650002,36.099998,35.599998,35.75,35.75,345.200012,362.700012,343.200012,359.850006,359.850006
2020-11-02,339.100006,344.299988,333.049988,341.100006,341.100006,36,36.5,35.849998,35.950001,35.950001,360,362.700012,351.200012,356.899994,356.899994
2020-11-03,344,349.600006,340.149994,344.799988,344.799988,35.599998,36.849998,35.599998,36.049999,36.049999,362,362.649994,347.200012,353.649994,353.649994
2020-11-04,342.600006,359.5,337.5,351.850006,351.850006,36.349998,36.599998,35.900002,36.150002,36.150002,367.649994,369.5,349.600006,361.100006,361.100006
2020-11-05,353,354.950012,345.25,352.75,352.75,36.799999,36.799999,36.200001,36.400002,36.400002,366.049988,374.649994,364.299988,368.649994,368.649994
2020-11-06,352,353.850006,345.049988,352.100006,352.100006,38,39.950001,37.5,37.700001,37.700001,368.649994,375.899994,365.799988,371.100006,371.100006
2020-11-09,354,364.700012,351.850006,357.899994,357.899994,38.200001,38.200001,36.900002,37.049999,37.049999,375,376,366,367.049988,367.049988
2020-11-10,358.100006,361.75,353.200012,359.5,359.5,37.150002,37.450001,36.25,36.349998,36.349998,370.700012,374.5,364.149994,366.75,366.75
2020-11-11,359.200012,362.700012,354.049988,360.100006,360.100006,36.549999,36.849998,36.349998,36.450001,36.450001,366.75,372.450012,365.25,371.600006,371.600006
2020-11-12,358.200012,369.5,358,365.549988,365.549988,36.5,36.700001,36,36.049999,36.049999,373,375.600006,366.100006,368.049988,368.049988
2020-11-13,364,371.649994,362.049988,368.600006,368.600006,35.900002,36.25,35.75,36.150002,36.150002,367.5,370.399994,362.700012,365.5,365.5
2020-11-14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-11-17,372,401.950012,371,394.299988,394.299988,36.900002,37.75,36.400002,37.5,37.5,368.5,386.75,366.25,379.649994,379.649994
2020-11-18,393.950012,404.700012,387.399994,394.5,394.5,37.650002,39.950001,37.5,39.400002,39.400002,382,395.200012,382,391.100006,391.100006
2020-11-19,390,398.5,377.799988,385.75,385.75,39.400002,40,38.099998,38.299999,38.299999,390,392.700012,379.600006,381.899994,381.899994
2020-11-20,385.100006,402,385,388.299988,388.299988,38.299999,38.799999,37.75,38,38,381,382.649994,373,375.850006,375.850006
2020-11-23,390.100006,413.700012,383.100006,409.049988,409.049988,38.450001,39,38.099998,38.400002,38.400002,375.850006,379.350006,370.299988,375.149994,375.149994
2020-11-24,409.899994,415.5,404.200012,407.200012,407.200012,39,39.299999,38.599998,38.700001,38.700001,378,402,376,392.25,392.25
2020-11-25,408.950012,411.5,393,399.25,399.25,39.049999,39.25,38.049999,38.25,38.25,396.299988,404.700012,384.399994,398.950012,398.950012
2020-11-26,402.799988,411.549988,399.149994,401.950012,401.950012,38.549999,38.599998,38.099998,38.25,38.25,400.799988,413,395.649994,410.149994,410.149994
2020-11-27,401,407.850006,396.299988,398.399994,398.399994,38.450001,38.900002,38.25,38.5,38.5,411,416,408.200012,411.549988,411.549988
2020-12-01,398,423.950012,395.100006,421.899994,421.899994,38.75,41.799999,38.650002,41.049999,41.049999,415,426,412,423.799988,423.799988
2020-12-02,420.549988,461.899994,419.350006,453.75,453.75,41.900002,45.700001,41.599998,45.150002,45.150002,424.899994,442,420.350006,438.200012,438.200012
2020-12-03,453.75,457,443.25,447.549988,447.549988,46.400002,54.150002,46,54.150002,54.150002,442,444.5,433.049988,435.799988,435.799988
2020-12-04,449,456.549988,442,445.950012,445.950012,58,63.950001,56.299999,59.599998,59.599998,439.700012,458.299988,439,453.700012,453.700012
2020-12-07,446,466.350006,445.950012,457.549988,457.549988,60.5,61.5,54.25,56.799999,56.799999,461,474.899994,459,471.5,471.5
2020-12-08,457.549988,462.299988,446.549988,451.899994,451.899994,57.049999,57.849998,52,52.400002,52.400002,472.700012,474.700012,457.549988,463.350006,463.350006
